taxon,species,color_desc,flowering_months,family,color_id,red,orange,yellow,green,blue,purple,pink,white,brown,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,inat_phen,ob_num
Centaurea jacea L.,Centaurea jacea,Rose-purple,"jul, aug",Asteraceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,282
Centaurea nigra L.,Centaurea nigra,Rose-purple,"jun, sep",Asteraceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,TRUE,20
Centaurea stoebe L.,Centaurea maculosa,"Pink, purple, white","jun, oct",Asteraceae,purple,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,886
Cerastium arvense L.,Cerastium arvense,White,"may,jul",Caryophyllaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,55
Cerastium glomeratum Thuill.,Cerastium vulgatum,White,"mar,jul",Caryophyllaceae,white,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,TRUE,37
Chaenorhinum minus (L.) Lange,Chaenorhinum minus,"Blue, lilac","June, September",Plantaginaceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,142
Chamaecrista fasciculata (Michx.) Greene,Cassia fasciculata,Yellow,"jul, sep",Fabaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,725
Chamaecrista nictitans (L.) Moench,Cassia nictitans,Yellow,"jul, aug",Fabaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,47
Chamaelirium luteum (L.) A.Gray,Chamaelirium luteum,White,"mar,jun",Melanthiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,29
Chelidonium majus L.,Chelidonium majus,Yellow,"may, aug",Papaveraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,2047
Chelone glabra L.,Chelone glabra,"White, pimk","jul, sep",Plantaginaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,1624
Chelone lyonii Pursh,Chelone lyonii,Rose-pink,"aug, oct",Plantaginaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,64
Chelone obliqua L.,Chelone obliqua,Rose-pink,"jul, sep",Plantaginaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,TRUE,4
Chenopodiastrum hybridum (L.) S.Fuentes & al.,Chenopodium hybridum,Greenish,"jul,oct",Amaranthaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,79
Chenopodium album L.,Chenopodium album,Greenish,"jul,sep",Amaranthaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,59
Chimaphila maculata (L.) Pursh,Chimaphila maculata,"White, pinkish","jun,aug",Ericaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,2464
Chimaphila umbellata (L.) Nutt.,Chimaphila umbellata,"White, pinkish","jun,aug",Ericaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,79
Chrysogonum virginianum L.,Chrysogonum virginianum,Bright yellow,"mar,jun",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,111
Chrysopsis mariana (L.) Elliott,Chrysopsis mariana,Yellow,"aug,oct",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE,55
Chrysosplenium americanum Schwein. ex Hook.,Chrysosplenium americanum,"Greenish, yellowish","apr, jun",Saxifragaceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,185
Cichorium intybus L.,Cichorium intybus,"Blue, white","jun,oct",Asteraceae,blue,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,TRUE,4299
Cicuta bulbifera L.,Cicuta bulbifera,White,"jul, sep",Apiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,81
Cicuta maculata L.,Cicuta maculata,White,"jun, aug",Apiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,264
Circaea alpina L.,Circaea alpina,White,"may, aug",Onagraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,113
Circaea lutetiana L.,Circaea lutetiana,White,"jun, aug",Onagraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,79
Cirsium altissimum (L.) Hill,Cirsium altissimum,"Purple, white","jul,sep",Asteraceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,19
Cirsium arvense (L.) Scop.,Cirsium arvense,"Purple, white","jun,oct",Asteraceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,TRUE,1366
Cirsium discolor (Muhl. ex Willd.) Spreng.,Cirsium discolor,"Purple, white","jul,oct",Asteraceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,636
Cirsium horridulum Michx.,Cirsium horridulum,Yellow,"may,aug",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,181
Cirsium muticum Michx.,Cirsium muticum,Purple,"jul,oct",Asteraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,200
Cirsium pumilum (Nutt.) Spreng.,Cirsium pumilum,Purple,"jun,aug",Asteraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,94
Cirsium vulgare (Savi) Ten.,Cirsium vulgare,"Purple, white","jun,oct",Asteraceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,1451
Claytonia caroliniana Michx.,Claytonia caroliniana,"Pink, white","apr,jun",Montiaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,2460
Claytonia virginica L.,Claytonia virginica,"Pink, white","apr,jun",Montiaceae,pink,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,7864
Clinopodium vulgare L.,Clinopodium vulgare,"Pinkish, lilac","jul, aug",Lamiaceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,TRUE,736
Clintonia borealis (Aiton) Raf.,Clintonia borealis,Greenish yellow,"may,jun",Liliaceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,2553
Clintonia umbellulata (Michx.) Morong,Clintonia umbellulata,White,"may,jun",Liliaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,63
Collinsia verna Nutt.,Collinsia verna,"Pale purple, violet","apr, jun",Plantaginaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,283
Collinsonia canadensis L.,Collinsonia canadensis,Light-yellow,"jul, sep",Lamiaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,345
Comandra umbellata (L.) Nutt.,Comandra umbellata,Greenish white,"may, jul",Comandraceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,291
Comarum palustre L.,Potentilla palustris,Purple,"jun, aug",Rosaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,123
Commelina communis L.,Commelina communis,Blue,"July, October",Commelinaceae,blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,TRUE,2519
Commelina virginica L.,Commelina virginica,Blue,"may, oct",Commelinaceae,blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,20
Conium maculatum L.,Conium maculatum,White,"jun, aug",Apiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE,155
Conoclinium coelestinum (L.) DC.,Eupatorium coelestinum,"Blue, violet","jul,oct",Asteraceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE,569
Conopholis americana (L.) Wallr.,Conopholis americana,Yellow,"February, June",Orobanchaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,385
Convallaria majalis L.,Convallaria majalis,White,"may,jun",Ruscaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,703
Coptis trifolia (L.) Salisb.,Coptis groenlandica,White,"apr, jul",Ranunculaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,969
Corallorhiza maculata (Raf.) Raf.,Corallorhiza maculata,"White, purple","June, August",Orchidaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE,112
Corallorhiza odontorhiza (Willd.) Nutt.,Corallorhiza odontorhiza,"White, purple","August, October",Orchidaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE,47
Corallorhiza trifida Châtel.,Corallorhiza trifida,"Purplish, yellow-green","May, June",Orchidaceae,yellow,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE,57
Corallorhiza wisteriana Conrad,Corallorhiza wisteriana,"White, purple","January, July",Orchidaceae,purple,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,18
Coreopsis major Walter,Coreopsis major,Yellow,"may,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,4
Coreopsis rosea Nutt.,Coreopsis rosea,"Rose, white","jun,sep",Asteraceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,35
Coreopsis tripteris L.,Coreopsis ltripteris,Yellow,"jul,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,304
Cornus canadensis L.,Cornus canadensis,White,"may, sep",Cornaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE,1520
Corydalis aurea Willd.,Corydalis aurea,Golden-yellow,"feb, sep",Fumariaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,TRUE,40
Corydalis flavula (Raf.) DC.,Corydalis flavula,Pale-yellow,"mar, may",Fumariaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,TRUE,449
Crepis capillaris (L.) Wallr.,Crepis capillaris,Yellow,"jun,nov",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,TRUE,4
Crocanthemum canadense (L.) Britton,Helianthemum canadense,Yellow,"mar,jul",Cistaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,120
Crotalaria sagittalis L.,Crotalaria sagittalis,Yellow,"June, September",Fabaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,17
Cryptotaenia canadensis (L.) DC.,Cryptotaenia canadensis,White,"jun, jul",Apiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,223
Cunila origanoides (L.) Britton,Cunila origanoides,Purplish,"jul, sep",Lamiaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE,62
Cuphea viscosissima Jacq.,Cuphea viscosissima,Purple,"jul, oct",Lythraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE,13
Cynoglossum officinale L.,Cynoglossum officinale,Reddish-purple,"may, jul",Boraginaceae,red,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,55
Cypripedium acaule Aiton,Cypripedium acaule,"Deep-rose, white","May, July",Orchidaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,6659
Dactylorhiza viridis (L.) R.M.Bateman & al.,Coeloglossum viride,Green,"May, August",Orchidaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,17
Datura stramonium L.,Datura stramonium,"White, violet, lavendar","jul, sep",Solanaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,310
Daucus carota L.,Daucus carota,White,"jun, sep",Apiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,3565
Decodon verticillatus (L.) Elliott,Decodon verticillatus,Magenta,"jul,sep",Lythraceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,305
Desmodium canadense (L.) DC.,Desmodium canadense,Rose-purple,"June, September",Fabaceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,395
Desmodium canescens (L.) DC.,Desmodium canescens,"Pink, green","July, September",Fabaceae,green,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,19
Desmodium ciliare (Willd.) DC.,Desmodium ciliare,Purple,"June, October",Fabaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,3
Desmodium glabellum (Michx.) DC.,Desmodium glabellum,Purple,"jun,sep",Fabaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,33
Desmodium paniculatum (L.) DC.,Desmodium paniculatum,Purple,"July, September",Fabaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,170
Desmodium sessilifolium Torr. & A.Gray,Desmodium sessilifolium,Purple,"July, August",Fabaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,TRUE,8
Dianthus armeria L.,Dianthus armeria,Deep pink,"jun,sep",Caryophyllaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,2054
Dianthus deltoides L.,Dianthus deltoides,Pink,"jun,aug",Caryophyllaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,495
Diapensia lapponica L.,Diapensia lapponica,White,"jun, jul",Diapensiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE,306
Dicentra canadensis (G.Don) Walp.,Dicentra canadensis,White,"April, May",Fumariaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,1537
Dicentra cucullaria (L.) Bernh.,Dicentra cucullaria,White,"April, May",Fumariaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,5723
Dicentra eximia (KerGawl.) Torr.,Dicentra eximia,Pink,"March, October",Fumariaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,169
Dioscorea villosa L.,Dioscorea villosa,Greenish yellow,"jun,jul",Dioscoreaceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,24
Doellingeria infirma (Michx.) Greene,Aster infirmus,White,"jul,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,3
Doellingeria umbellata (Mill.) Nees,Aster umbellatus,White,"jul,oct",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,1815
Draba verna L.,Draba verna,White,"apr, may",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,TRUE,589
Drosera filiformis Raf.,Drosera filiformis,Purple,"jun, sep",Droseraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,49
Drosera intermedia Hayne,Drosera intermedia,White,"jun, sep",Droseraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,85
Drosera rotundifolia L.,Drosera rotundifolia,White,"jun, sep",Droseraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,93
Drymocallis arguta (Pursh) Rydb.,Potentilla arguta,White,"jun, aug",Rosaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,95
Dysphania botrys (L.) Mosyakin & Clemants,Chenopodium botrays,Greenish,"jun,sep",Amaranthaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,79
Echinacea purpurea (L.) Moench,Echinacea purpurea,Reddish purple,"jul,oct",Asteraceae,red,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,758
Echinocystis lobata (Michx.) Torr. & A.Gray,Echinocystis lobata,Greenish white,"jul,sep",Cucurbitaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,941
Echium vulgare L.,Echium vulgare,Blue,"June, September",Boraginaceae,blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,905
Enemion biternatum Raf.,Enemion biternatum,White,"apr, may",Ranunculaceae,white,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,889
Epifagus virginiana (L.) W.P.C.Barton,Epifagus virginiana,"Whitish, purple-brown","July, October",Orobanchaceae,purple,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,TRUE,254
Epigaea repens L.,Epigaea repens,"Pink, white","apr, may",Ericaceae,pink,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,2830
Epilobium ciliatum Raf.,Epilobium glandulosum,"Pink, lilac","jun, oct",Onagraceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,51
Epilobium coloratum Biehler,Epilobium coloratum,"White, pink","jun, oct",Onagraceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,96
Epilobium hirsutum L.,Epilobium hirsutum,Rose-purple,"jul, aug",Onagraceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,138
Epilobium leptophyllum Raf.,Epilobium leptophyllum,"Pink, whitish","jun, aug",Onagraceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,8
Epipactis helleborine (L.) Crantz,Epipactis helleborine,"Purple, green, purple","July, August",Orchidaceae,green,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,903
Erigenia bulbosa (Michx.) Nutt.,Erigenia bulbosa,White,"apr, may",Apiaceae,white,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,TRUE,672
Erigeron annuus (L.) Desf.,Erigeron annuus,"White, pink","jun,oct",Asteraceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,1086
Erigeron philadelphicus L.,Erigeron philadelphicus,"Pinkish, whitish","may,jun",Asteraceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,2897
Erigeron pulchellus Michx.,Erigeron pulchellus,"Violet, lilac","apr,jun",Asteraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,563
Erigeron strigosus Muhl. ex Willd.,Erigeron strigosus,"White, pink","jun,sep",Asteraceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,TRUE,867
Eriocaulon aquaticum (Hill) Druce,Eriocaulon septangulare,Whitish,"jul,sep",Eriocaulaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,104
Erodium cicutarium (L.) L'Hér. ex Aiton,Erodium cicutarium,"Pink, purple","jun,sepp",Geraniaceae,purple,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,TRUE,311
Eryngium yuccifolium Michx.,Eryngium yuccifolium,White,"jul,aug",Apiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,178
Erysimum cheiranthoides L.,Erysimum cheiranthoides,Yellow,"jun, aug",Brassicaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,211
Erythronium albidum Nutt.,Erythronium albidum,"White, blue","apr,may",Liliaceae,blue,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,1289
Erythronium americanum KerGawl.,Erythronium americanum,Yellow,"apr,may",Liliaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,6586
Eupatorium album L.,Eupatorium album,White,"jul,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,12
Eupatorium altissimum L.,Eupatorium altissimum,White,"aug,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE,122
Eupatorium hyssopifolium L.,Eupatorium hyssopifolium,White,"jun,oct",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE,37
Eupatorium perfoliatum L.,Eupatorium perfoliatum,White,"jul,oct",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,1570
Eupatorium rotundifolium L.,Eupatorium pubescens,White,"jul,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,5
Eupatorium serotinum Michx.,Eupatorium serotinum,White,"sep,nov",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE,636
Eupatorium sessilifolium L.,Eupatorium sessilifolium,White,"jul,oct",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,56
Euphorbia corollata L.,Euphorbia corollata,White,"jun, sep",Euphorbiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,TRUE,378
Euphorbia cyparissias L.,Euphorbia cyparissias,"Yellowish, greenish","may,aug",Euphorbiaceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,177
Euphorbia helioscopia L.,Euphorbia helioscopia,Green,"may,oct",Euphorbiaceae,green,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,TRUE,11
Euphorbia maculata L.,Euphorbia supina,"Whitish, reddish","jun,sep",Euphorbiaceae,red,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,TRUE,163
Euphorbia marginata Pursh,Euphorbia marginata,White,"jun, oct",Euphorbiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,5
Euphorbia peplus L.,Euphorbia peplus,Greenish yellow,"jun,sep",Euphorbiaceae,yellow,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,TRUE,3
Euphorbia polygonifolia L.,Euphorbia polygonifolia,Greenish,"jul,aug",Euphorbiaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,16
Euphrasia nemorosa (Pers.) Wallr.,Euphrasia nemorosa,"White, purple","jun, sep",Orobanchaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,68
Eurybia macrophylla (L.) Cass.,Aster macrophyllus,"Violet, lavender","jul,oct",Asteraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,933
Eurybia radula (Aiton) G.L.Nesom,Aster radula,Violet,"aug,sep",Asteraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,6
Eurybia schreberi (Nees) Nees,Aster schreberi,White,"aug,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,TRUE,61
Eurybia spectabilis (Aiton) G.L.Nesom,Aster spectabilis,Bright violet,"aug,nov",Asteraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,33
Euthamia graminifolia (L.) Nutt.,Solidago graminifolia,Yellow,"jul,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,1405
Fagopyrum esculentum Moench,Fagopyrum sagittatum,White,"jun, sep",Polygonaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,13
Ficaria verna Huds.,Ranunculus ficaria,Yellow,"mar,may",Ranunculaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,TRUE,7937
Filipendula rubra (Hill) B.L.Rob.,Filipendula rubra,Deep pink,"jun, aug",Rosaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE,172
Floerkea proserpinacoides Willd.,Floerkea proserpinacoides,White,"apr, jun",Limnanthaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,76
Fragaria vesca L.,Fragaria vesca,White,"may, aug",Rosaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,244
Fragaria virginiana Duchesne,Fragaria virginiana,White,"mar, nov",Rosaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,1480
Fumaria officinalis L.,Fumaria officinalis,"Pinkish, crimson","jul, aug",Fumariaceae,red,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,6
Galearis rotundifolia (Banks ex Pursh) R.M.Bateman,Orchis rotundifolia,"Rose, white, purple","June, July",Orchidaceae,purple,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,6
Galearis spectabilis (L.) Raf.,Galearis spectabilis,Magenta,"May, June",Orchidaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,384
