taxon,species,color_desc,flowering_months,family,color_id,red,orange,yellow,green,blue,purple,pink,white,brown,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,inat_phen
Bidens laevis (L.) Britton & al.,Bidens laevis,Yellow,"jun,oct",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,TRUE
Bidens vulgata Greene,Bidens vulgata,"Greenish yellow, pale yellow","aug,oct",Asteraceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Blephilia ciliata (L.) Benth.,Blephilia ciliata,Light purple,"may, aug",Lamiaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Blephilia hirsuta (Pursh) Benth.,Blephilia hirsuta,"Light purple, dark purple","may, sep",Lamiaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Boehmeria cylindrica (L.) Sw.,Boehmeria cylindrica,Greenish,"jul,sep",Urticaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Brasenia schreberi J.F.Gmel.,Brasenia schreberi,Dull purple,"jun,aug",Cabombaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Brassica juncea (L.) Czern.,Brassica juncea,Yellow,"may, jun",Brassicaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,TRUE
Sinapis arvensis L.,Brassica kaber,Yellow,"may, jun",Brassicaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,TRUE
Rhamphospermum nigrum (L.) Al-Shehbaz,Brassica nigra,Yellow,"may,aug",Brassicaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TRUE
Brassica rapa L.,Brassica rapa,Yellow,"jun, jul",Brassicaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
Butomus umbellatus L.,Butomus umbellatus,Rose,"jun, aug",Butomaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Arnoglossum atriplicifolium (L.) H.Rob.,Cacalia atriplicifolia,White,"jul,nov",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Arnoglossum reniforme (Hook.) H.Rob.,Cacalia muhlenbergii,White,"jun,aug",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE
Critoniopsis suaveolens (Kunth) H.Rob.,Cacalia suaveolens,White,"jul,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,FALSE
Krigia dandelion (L.) Nutt.,Cacalia tuberosa,Whitish,"apr,jun",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
Cakile edentula (Bigelow) Hook.,Cakile edentula,Light purple,"jul, sep",Brassicaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,TRUE
Calla palustris L.,Calla palustris,White,"May, June",Araceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE
Calopogon tuberosus (L.) Britton & al.,Calopogon tuberosus,Magenta-pink,"June, August",Orchidaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE
Caltha palustris L.,Caltha palustris,Yellow,"apr, may",Ranunculaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Calypso bulbosa (L.) Oakes,Calypso bulbosa,Purple,"May, June",Orchidaceae,purple,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,TRUE
Camassia scilloides (Raf.) Cory,Camassia scilloides,Pale blue,"mar,jun",Agavaceae,blue,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Campanula americana L.,Campanula americana,Light blue,"jul,aug",Campanulaceae,blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Campanula rotundifolia L.,Campanula rotundifolia,Violet-blue,"jun, oct",Campanulaceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Capsella bursa-pastoris (L.) Medik.,Capsella bursa-pastoris,White,"and fruiting jan,oct",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
Cardamine bulbosa (Schreb. ex Muhl.) Britton & al.,Cardamine bulbosa,White,"mar, jun",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
Cardamine douglasii Britton,Cardamine douglassii,"Rose-purple, pink","mar, apr",Brassicaceae,purple,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,TRUE
Cardamine parviflora L.,Cardamine parviflora,White,"mar, jun",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
Cardamine pensylvanica Muhl. ex Willd.,Cardamine pensylvanica,White,"feb, oct",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Cardamine pratensis L.,Cardamine pratensis,"White, pinkish","apr,jun",Brassicaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Cardamine rotundifolia Michx.,Cardamine rotundifolia,White,"apr, jun",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Carduus nutans L.,Carduus nutans,"Purple, white","jun,oct",Asteraceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE
Carum carvi L.,Carum carvi,White,"jun, aug",Apiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Chamaecrista fasciculata (Michx.) Greene,Cassia fasciculata,Yellow,"jul, sep",Fabaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Senna hebecarpa (Fernald) H.S.Irwin & Barneby,Cassia hebecarpa,Yellow,"jul, aug",Fabaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Chamaecrista nictitans (L.) Moench,Cassia nictitans,Yellow,"jul, aug",Fabaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Harrimanella hypnoides (L.) Coville,Cassiope hypnoides,White,"jun,aug",Ericaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Castilleja coccinea (L.) Spreng.,Castilleja coccinea,"Scarlet, yellowish","January, September",Orobanchaceae,red,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE
Castilleja pallida (L.) Kunth,Castilleja septentrionalis,"Yellowish, cream, purple","June, August",Orobanchaceae,yellow,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Caulophyllum thalictroides (L.) Michx.,Caulophyllum thalictroides,"Yellow-green, purplish","apr,may",Berberidaceae,yellow,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Centaurea jacea L.,Centaurea jacea,Rose-purple,"jul, aug",Asteraceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Centaurea stoebe L.,Centaurea maculosa,"Pink, purple, white","jun, oct",Asteraceae,purple,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Centaurea nigra L.,Centaurea nigra,Rose-purple,"jun, sep",Asteraceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,TRUE
Centaurium erythraea Raf.,Centaurium umbellatum,"Pink, rose","may,aug",Gentianaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Cerastium arvense L.,Cerastium arvense,White,"may,jul",Caryophyllaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Cerastium glomeratum Thuill.,Cerastium vulgatum,White,"mar,jul",Caryophyllaceae,white,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,TRUE
Chaenorhinum minus (L.) Lange,Chaenorhinum minus,"Blue, lilac","June, September",Plantaginaceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Chamaelirium luteum (L.) A.Gray,Chamaelirium luteum,White,"mar,jun",Melanthiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Chelidonium majus L.,Chelidonium majus,Yellow,"may, aug",Papaveraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Chelone glabra L.,Chelone glabra,"White, pimk","jul, sep",Plantaginaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Chelone lyonii Pursh,Chelone lyonii,Rose-pink,"aug, oct",Plantaginaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Chelone obliqua L.,Chelone obliqua,Rose-pink,"jul, sep",Plantaginaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,TRUE
Chenopodium album L.,Chenopodium album,Greenish,"jul,sep",Amaranthaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Dysphania andicola (Phil.) Mosyakin & Clemants,Chenopodium ambrosioides,Greenish,"jul,sep",Amaranthaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,FALSE
Dysphania botrys (L.) Mosyakin & Clemants,Chenopodium botrays,Greenish,"jun,sep",Amaranthaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Chenopodium capitatum Asch.,Chenopodium capitatum,Greenish,"jun,aug",Amaranthaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Oxybasis glauca (L.) S.Fuentes & al.,Chenopodium glaucum,Greenish,"jul,sep",Amaranthaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Chenopodiastrum hybridum (L.) S.Fuentes & al.,Chenopodium hybridum,Greenish,"jul,oct",Amaranthaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Oxybasis rubra (L.) S.Fuentes & al.,Chenopodium rubrum,Greenish,"jul,sep",Amaranthaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Chimaphila maculata (L.) Pursh,Chimaphila maculata,"White, pinkish","jun,aug",Ericaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Chimaphila umbellata (L.) Nutt.,Chimaphila umbellata,"White, pinkish","jun,aug",Ericaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,FALSE
Leucanthemum vulgare Lam.,Chrysanthemum leucanthemum,White,"jun,aug",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE
Tanacetum parthenium (L.) Sch.Bip.,Chrysanthemum parthenium,White,"jun,aug",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Chrysogonum virginianum L.,Chrysogonum virginianum,Bright yellow,"mar,jun",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Pityopsis falcata (Pursh) Nutt.,Chrysopsis falcata,Yellow,"jul,oct",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Chrysopsis mariana (L.) Elliott,Chrysopsis mariana,Yellow,"aug,oct",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE
Chrysosplenium americanum Schwein. ex Hook.,Chrysosplenium americanum,"Greenish, yellowish","apr, jun",Saxifragaceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Cichorium intybus L.,Cichorium intybus,"Blue, white","jun,oct",Asteraceae,blue,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,TRUE
Cicuta bulbifera L.,Cicuta bulbifera,White,"jul, sep",Apiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Cicuta maculata L.,Cicuta maculata,White,"jun, aug",Apiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Actaea podocarpa DC.,Cimicifuga americana,White,"aug,oct",Ranunculaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Actaea racemosa L.,Cimicifuga racemosa,White,"jun,sep",Ranunculaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Circaea alpina L.,Circaea alpina,White,"may, aug",Onagraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Circaea lutetiana L.,Circaea lutetiana,White,"jun, aug",Onagraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Cirsium altissimum (L.) Hill,Cirsium altissimum,"Purple, white","jul,sep",Asteraceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Cirsium arvense (L.) Scop.,Cirsium arvense,"Purple, white","jun,oct",Asteraceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,TRUE
Cirsium discolor (Muhl. ex Willd.) Spreng.,Cirsium discolor,"Purple, white","jul,oct",Asteraceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Cirsium horridulum Michx.,Cirsium horridulum,Yellow,"may,aug",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
Cirsium muticum Michx.,Cirsium muticum,Purple,"jul,oct",Asteraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Cirsium pumilum (Nutt.) Spreng.,Cirsium pumilum,Purple,"jun,aug",Asteraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Cirsium vulgare (Savi) Ten.,Cirsium vulgare,"Purple, white","jun,oct",Asteraceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Claytonia caroliniana Michx.,Claytonia caroliniana,"Pink, white","apr,jun",Montiaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Claytonia virginica L.,Claytonia virginica,"Pink, white","apr,jun",Montiaceae,pink,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
Clinopodium vulgare L.,Clinopodium vulgare,"Pinkish, lilac","jul, aug",Lamiaceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,TRUE
Clintonia borealis (Aiton) Raf.,Clintonia borealis,Greenish yellow,"may,jun",Liliaceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Clintonia umbellulata (Michx.) Morong,Clintonia umbellulata,White,"may,jun",Liliaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Dactylorhiza viridis (L.) R.M.Bateman & al.,Coeloglossum viride,Green,"May, August",Orchidaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Angelica lucida L.,Coelopleurum lucidum,Greenish white,"may, sep",Apiaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE
Collinsia verna Nutt.,Collinsia verna,"Pale purple, violet","apr, jun",Plantaginaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Collinsonia canadensis L.,Collinsonia canadensis,Light-yellow,"jul, sep",Lamiaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Comandra umbellata (L.) Nutt.,Comandra umbellata,Greenish white,"may, jul",Comandraceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Commelina communis L.,Commelina communis,Blue,"July, October",Commelinaceae,blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,TRUE
Commelina virginica L.,Commelina virginica,Blue,"may, oct",Commelinaceae,blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Conioselinum chinense (L.) Britton & al.,Conioselinum chinense,White,"aug, sep",Apiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Conium maculatum L.,Conium maculatum,White,"jun, aug",Apiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE
Conopholis americana (L.) Wallr.,Conopholis americana,Yellow,"February, June",Orobanchaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Convallaria majalis L.,Convallaria majalis,White,"may,jun",Ruscaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Calystegia spithamaea (L.) Pursh,Convolvulus spithamaeus,White,"jun, jul",Convolvulaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Coptis trifolia (L.) Salisb.,Coptis groenlandica,White,"apr, jul",Ranunculaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Corallorhiza maculata (Raf.) Raf.,Corallorhiza maculata,"White, purple","June, August",Orchidaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE
Corallorhiza odontorhiza (Willd.) Nutt.,Corallorhiza odontorhiza,"White, purple","August, October",Orchidaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE
Corallorhiza trifida Châtel.,Corallorhiza trifida,"Purplish, yellow-green","May, June",Orchidaceae,yellow,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE
Corallorhiza wisteriana Conrad,Corallorhiza wisteriana,"White, purple","January, July",Orchidaceae,purple,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
Bidens lanceolata (L.) Banfi & al.,Coreopsis lanceolata,Yellow,"may,jul",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,FALSE
Coreopsis tripteris L.,Coreopsis ltripteris,Yellow,"jul,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Coreopsis major Walter,Coreopsis major,Yellow,"may,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Coreopsis rosea Nutt.,Coreopsis rosea,"Rose, white","jun,sep",Asteraceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Coreopsis delphiniifolia Lam.,Coreopsis verticillata,Yellow,"jun,aug",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Cornus canadensis L.,Cornus canadensis,White,"may, sep",Cornaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE
Corydalis aurea Willd.,Corydalis aurea,Golden-yellow,"feb, sep",Fumariaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,TRUE
Corydalis flavula (Raf.) DC.,Corydalis flavula,Pale-yellow,"mar, may",Fumariaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,TRUE
Capnoides sempervirens (L.) Borkh.,Corydalis sempervirens,"Pink, yellow","may, sep",Fumariaceae,yellow,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE
Crepis capillaris (L.) Wallr.,Crepis capillaris,Yellow,"jun,nov",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,TRUE
Crotalaria sagittalis L.,Crotalaria sagittalis,Yellow,"June, September",Fabaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Cryptotaenia canadensis (L.) DC.,Cryptotaenia canadensis,White,"jun, jul",Apiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Cunila origanoides (L.) Britton,Cunila origanoides,Purplish,"jul, sep",Lamiaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE
Cuphea viscosissima Jacq.,Cuphea viscosissima,Purple,"jul, oct",Lythraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE
Cynoglossum officinale L.,Cynoglossum officinale,Reddish-purple,"may, jul",Boraginaceae,red,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Andersonglossum virginianum (L.) J.I.Cohen,Cynoglossum virginianum,"Blue, pale-lilac","apr,jun",Boraginaceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Cypripedium acaule Aiton,Cypripedium acaule,"Deep-rose, white","May, July",Orchidaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Rubus repens (L.) Kuntze,Dalibarda repens,White,"apr,jun",Rosaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Datura stramonium L.,Datura stramonium,"White, violet, lavendar","jul, sep",Solanaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Daucus carota L.,Daucus carota,White,"jun, sep",Apiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Decodon verticillatus (L.) Elliott,Decodon verticillatus,Magenta,"jul,sep",Lythraceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Cardamine diphylla (Michx.) Alph.Wood,Dentaria diphylla,White,"mar, jun",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Cardamine angustata O.E.Schulz,Dentaria heterophylla,Pink,"mar, may",Brassicaceae,pink,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,TRUE
Cardamine concatenata (Michx.) O.Schwarz,Dentaria laciniata,"White, pink","mar, may",Brassicaceae,pink,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
Cardamine maxima (Nutt.) Alph.Wood,Dentaria maxima,"White, pale purple","apr, jun",Brassicaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
Cardamine dissecta (Leavenw.) Al-Shehbaz,Dentaria mutlifida,Pink,"mar, apr",Brassicaceae,pink,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,TRUE
Desmodium canadense (L.) DC.,Desmodium canadense,Rose-purple,"June, September",Fabaceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Desmodium canescens (L.) DC.,Desmodium canescens,"Pink, green","July, September",Fabaceae,green,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Desmodium ciliare (Willd.) DC.,Desmodium ciliare,Purple,"June, October",Fabaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Desmodium glabellum (Michx.) DC.,Desmodium glabellum,Purple,"jun,sep",Fabaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Hylodesmum glutinosum (Muhl. ex Willd.) H.Ohashi & R.R.Mill,Desmodium glutinosum,Purple,"jul, aug",Fabaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Hylodesmum nudiflorum (L.) H.Ohashi & R.R.Mill,Desmodium nudiflorum,Rose-purple,"July, September",Fabaceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Desmodium paniculatum (L.) DC.,Desmodium paniculatum,Purple,"July, September",Fabaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Desmodium sessilifolium Torr. & A.Gray,Desmodium sessilifolium,Purple,"July, August",Fabaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,TRUE
Dianthus armeria L.,Dianthus armeria,Deep pink,"jun,sep",Caryophyllaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Dianthus deltoides L.,Dianthus deltoides,Pink,"jun,aug",Caryophyllaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Diapensia lapponica L.,Diapensia lapponica,White,"jun, jul",Diapensiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
Dicentra canadensis (G.Don) Walp.,Dicentra canadensis,White,"April, May",Fumariaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Dicentra cucullaria (L.) Bernh.,Dicentra cucullaria,White,"April, May",Fumariaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Dicentra eximia (KerGawl.) Torr.,Dicentra eximia,Pink,"March, October",Fumariaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Hexasepalum teres (Walter) J.H.Kirkbr. & Delprete,Diodia teres,"White, pale-purple","jul, sep",Rubiaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Dioscorea villosa L.,Dioscorea villosa,Greenish yellow,"jun,jul",Dioscoreaceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
